source,transition,semantic_drift,top_frame_movement,mean_frame_movement,top_rising_frame,top_falling_frame,top_rising_delta,top_falling_delta,compound_delta,intensity_delta,polarization_delta,top_entity_turnover,mean_entity_turnover,mean_entity_js,num_entity_changes,top_entity,top_entity_added_verbs,top_entity_removed_verbs,archetype_id
theguardian.com,2020-05_06->2020-07_08,0.009763002395629883,0.023451200882319785,0.012576576413534723,update / change / replace / customise / amend,warn / risk / fear / worry / caution,0.023451200882319785,-0.010027750039456142,0.1319528344136331,-0.002861911193542732,-0.002397302589488254,0.9090909090909091,0.8973466070247424,0.8547197847856411,5,india,"['accuse', 'ban', 'base', 'bear', 'bring', 'confront', 'display', 'dominate', 'ease', 'engage']","['avoid', 'chair', 'elevate', 'eradicate', 'eschew', 'extend', 'fear', 'import', 'overtake', 'peak']",0
theguardian.com,2020-07_08->2020-09_10,0.012025058269500732,0.012333826506754186,0.007738678655397968,speak / discuss / talk / mingle / socialise,buy / enter / deal / invite / offer,0.012333826506754186,-0.0055683809587066535,0.15087459773110745,0.002869785593766716,0.007705009670914559,0.9285714285714286,0.8979076479076479,0.8509400333482449,5,wuhan,"['announce', 'arrive', 'award', 'check', 'die', 'evacuate', 'inform', 'live', 'mishandle', 'observe']","['base', 'blame', 'capture', 'combat', 'conduct', 'deliver', 'detect', 'diagnose', 'drive', 'follow']",0
theguardian.com,2020-09_10->2020-11_12,0.025075137615203857,0.027953531831058295,0.013177999744532681,buy / enter / deal / invite / offer,announce / inform / disclose / dictate / divulge,0.027953531831058295,-0.015840890654269787,0.15445987577350226,-0.005906888394261817,0.007263509340294377,0.9090909090909091,0.8507554557243999,0.8467548923386659,5,canada,"['adopt', 'approach', 'approve', 'authorize', 'average', 'battle', 'buy', 'decline', 'donate', 'extend']","['arrest', 'brace', 'consider', 'criticise', 'ensure', 'follow', 'govern', 'grant', 'hack', 'head']",0
theguardian.com,2020-11_12->2021-01_02,0.012157618999481201,0.040690549853022555,0.017499629252808166,buy / enter / deal / invite / offer,update / change / replace / customise / amend,0.040690549853022555,-0.014773982101536152,-0.06458501119570087,-0.004881412502305005,-0.0023582861357709373,0.8888888888888888,0.862253743104807,0.8136401062784928,5,biden,"['celebrate', 'elevate', 'ensure', 'face', 'finalize', 'indicate', 'instruct', 'intend', 'issue', 'plan']","['acknowledge', 'affirm', 'cast', 'certify', 'change', 'declare', 'expect', 'focus', 'implement', 'implore']",1
theguardian.com,2021-01_02->2021-03_04,0.008497774600982666,0.019003417493980254,0.010540939650086564,announce / inform / disclose / dictate / divulge,buy / enter / deal / invite / offer,0.014441847737798823,-0.019003417493980254,-0.038418377142857174,0.0023975529411764673,-0.003837633613445371,0.9090909090909091,0.8897567840964067,0.8308730453873535,5,italy,"['abandon', 'announce', 'bar', 'batter', 'block', 'classify', 'contribute', 'decrease', 'disrupt', 'document']","['attend', 'ban', 'cancel', 'claim', 'contradict', 'delay', 'echo', 'end', 'enjoy', 'express']",0
theguardian.com,2021-03_04->2021-05_06,0.008448123931884766,0.013623469850646504,0.008141677090921862,meet / gather / encounter,view / monitor / screen / display / preview,0.006571148903793398,-0.013623469850646504,0.019463581224489795,-0.0029805061224489615,0.002929110204081639,0.9285714285714286,0.875818038381315,0.8088205304182274,5,south africa,"['accelerate', 'airlift', 'apply', 'assess', 'back', 'build', 'calculate', 'compare', 'dominate', 'emerge']","['arise', 'arrive', 'attend', 'ban', 'bar', 'circulate', 'endure', 'enter', 'impose', 'limit']",0
theguardian.com,2021-05_06->2021-07_08,0.014799356460571289,0.016198093682572766,0.01248002194839902,view / monitor / screen / display / preview,announce / inform / disclose / dictate / divulge,0.016198093682572766,-0.010386260085975922,-0.025729676733375118,-0.0020060993702812335,-0.0009095974415614383,0.9090909090909091,0.8666315327184891,0.8193139392421711,5,wuhan,"['alarm', 'believe', 'collect', 'launch', 'lead', 'lift', 'line', 'link', 'manipulate', 'mean']","['act', 'argue', 'arrive', 'carry', 'circulate', 'detect', 'discover', 'dismiss', 'drive', 'examine']",0
theguardian.com,2021-07_08->2021-09_10,0.010993480682373047,0.013883602086321993,0.009659188568586824,announce / inform / disclose / dictate / divulge,view / monitor / screen / display / preview,0.013883602086321993,-0.007876464719619732,0.06979378217555202,0.006533072159396858,0.0013090872374798002,0.9090909090909091,0.871956626189051,0.8298799071251768,5,congress,"['achieve', 'attack', 'avoid', 'coincide', 'consult', 'control', 'express', 'force', 'get', 'increase']","['adopt', 'allocate', 'anger', 'authorize', 'build', 'certify', 'criticise', 'defend', 'extend', 'fail']",0
theguardian.com,2021-09_10->2021-11_12,0.028490006923675537,0.014778038419957243,0.01190145032712605,identify / detect / recognise / observe / feature,buy / enter / deal / invite / offer,0.012785420137680858,-0.014778038419957243,-0.0968798311403509,-0.002608706140350886,-0.004864144736842116,0.8888888888888888,0.8759475890985324,0.8180858723322005,5,congress,"['authorize', 'block', 'brace', 'charge', 'clear', 'deliver', 'discuss', 'hold', 'ignore', 'indict']","['achieve', 'attack', 'avoid', 'coincide', 'consult', 'express', 'force', 'increase', 'lie', 'meet']",0
theguardian.com,2021-11_12->2022-01_02,0.0148240327835083,0.016917178793560583,0.011178151610697537,view / monitor / screen / display / preview,announce / inform / disclose / dictate / divulge,0.016917178793560583,-0.016313469041846107,-9.983552631578907e-05,0.005256459763539306,0.00022537662090009458,0.9285714285714286,0.9070880230880232,0.8708449754878507,5,california,"['allow', 'base', 'bear', 'consider', 'declare', 'deny', 'die', 'double', 'drive', 'drop']","['accuse', 'attribute', 'collaborate', 'detect', 'enter', 'fall', 'file', 'find', 'follow', 'garner']",0
theguardian.com,2022-01_02->2022-03_04,0.041657328605651855,0.01655642876547623,0.013592273348666353,view / monitor / screen / display / preview,update / change / replace / customise / amend,0.01602625673572896,-0.01655642876547623,-0.09363234126984127,0.008839256958822178,-0.005517713365539453,0.9285714285714286,0.892228484303956,0.8305418560376724,5,victoria,"['administer', 'age', 'argue', 'blame', 'build', 'cut', 'earn', 'expect', 'fall', 'find']","['announce', 'apply', 'approach', 'assist', 'break', 'clean', 'compete', 'delay', 'distribute', 'drop']",0
theguardian.com,2022-03_04->2022-05_06,0.03887045383453369,0.010846008826507327,0.009179074637604808,meet / gather / encounter,lose / leave / kill / die / keep,0.010846008826507327,-0.009551191616670417,0.09374721879145509,-0.0016795129835475708,0.010407994449781188,0.9148936170212766,0.8898034494891192,0.8763175329958253,5,boris johnson,"['accept', 'accuse', 'blame', 'carry', 'claim', 'declare', 'dominate', 'emerge', 'face', 'feel']","['advise', 'deny', 'express', 'find', 'host', 'indicate', 'issue', 'join', 'leave', 'mislead']",0
theguardian.com,2022-05_06->2022-07_08,0.016481459140777588,0.024430467722542704,0.011560128622725364,update / change / replace / customise / amend,meet / gather / encounter,0.024430467722542704,-0.01124640245638148,-0.04265985174841791,0.000626712023530096,-0.006632698535310011,0.9473684210526316,0.9015062909799753,0.8499258344112285,5,labor,"['adopt', 'align', 'amend', 'block', 'campaign', 'compare', 'depart', 'examine', 'fend', 'fit']","['aid', 'appease', 'assemble', 'attack', 'beat', 'commit', 'confirm', 'describe', 'end', 'endorse']",0
theguardian.com,2022-07_08->2022-09_10,0.037464141845703125,0.02872958488012224,0.01497687325942979,view / monitor / screen / display / preview,buy / enter / deal / invite / offer,0.02872958488012224,-0.01520428868631881,0.12950296603008277,0.008976254858881205,0.005806185567010291,0.9285714285714286,0.9040821071511609,0.8424420420682883,5,world health organization,"['approve', 'argue', 'believe', 'commission', 'conclude', 'confirm', 'describe', 'find', 'gain', 'publish']","['act', 'admit', 'advise', 'agree', 'align', 'applaud', 'caution', 'consider', 'deem', 'define']",0
theguardian.com,2022-09_10->2022-11_12,0.08188837766647339,0.01306073126369954,0.008256872006384312,face / stare / eye / glance / eyeball,view / monitor / screen / display / preview,0.00666731109416553,-0.01306073126369954,-0.12080917793466553,-0.010190379322723486,-0.0061182481751824724,0.9090909090909091,0.8801731601731602,0.8470120603838543,5,twitter,"['access', 'accord', 'ban', 'block', 'break', 'buy', 'circulate', 'devote', 'ditch', 'expose']","['abide', 'charge', 'exist', 'fall', 'get', 'hit', 'instigate', 'surpass', 'trend', 'view']",0
